rank	ID	score
1	fuppy	3511.5350817537587
2	omu	3387.4486436842494
3	kusano	3337.8423977310854
4	hitonanode	3212.4226136222505
5	rickytheta	3210.185224871448
6	takumi152	3179.620224697152
7	tanzaku	3177.226256870065
8	takoshi	3144.1150183326836
9	E869120	3092.500065199152
10	goodbaton	3003.5847471495395
11	y_kawano	2864.353526730122
12	daisyo	2840.141067691525
13	Dente	2797.405416776335
14	kotamanegi	2728.909843240127
15	nagitaosu	2727.350603650089
16	mtsd	2718.226708400088
17	gobi	2701.054409325267
18	fgwiebfaoish	2686.430749954792
19	Taiyo	2676.3070539058626
20	snuke	2667.7116063723383
21	ekiden	2655.7166396546527
22	iehn	2644.310567434905
23	neterukun	2642.6067864758957
24	masutech16	2641.5127518708387
25	ganariya	2637.7672720287087
26	Imperi	2627.312940628306
27	iwashi31	2599.674818948112
28	riantkb	2592.2730821190207
29	tobiuo1990	2584.138469050747
30	sumoru	2572.403768390411
31	kimiyuki	2469.975513789616
32	jacky	2464.6411831093437
33	to-hutohu	2451.517588547872
34	4bungi	2409.774840474506
35	hiro116s	2397.5665312631754
36	ichyo	2356.219461617637
37	titia	2320.562544661198
38	qLethon	2312.9373788679072
39	mamekin	2274.1248375282676
40	remin	2250.477111127867
41	phocom	2210.004045534574
42	Jiro_tech15	2206.2023101583386
43	ryuk	2167.084992479805
44	koikuchi	2036.095061992066
45	unsre	2021.7686151282946
46	bowwowforeach	2021.7686151282946
47	31536000	2000.1837289525647
48	tomerun	1956.2687192173526
49	sensaur	1916.672680629487
50	mojashi	1870.6530902303252
51	Joe75792433	1740.02233242952
52	yamunaku	1678.1937227485435
53	fujiyama	1633.9691955914689
54	uchiiii	1588.3388414550732
55	foxgod	1530.329131108183
56	omochana2	1517.7750793837047
57	kenntin	1469.4679231638488
58	Arakoma	1338.4950010011307
59	hdnkt	1300.9352423419614
60	Aquarius	971.615329768271
61	mkan_0141	904.510024877641
62	cielavenir	895.3333333333334
63	tantal	824.4424407600877
64	myrmidon	788.6131687028272
65	shindannin	753.5581626209764
66	hidekiy	737.1416090824706
67	siman	629.6354066985646
68	rigy	586.9872221416081
69	kryinit	396.8404213036565
70	physics0523	192.5546218487395
71	nyanko	138.84444444444443
72	nhho	133.33333333333331
73	Kuri174	48.99523809523809
