rank	ID	score
1	omu	2477.6662487296203
2	shr	2411.384456500855
3	fuppy	2357.36200817229
4	rickytheta	2312.5207832964084
5	kusano	2310.1390212195392
6	iwashi31	2308.0266395922777
7	31536000	2299.3317307503544
8	takoshi	2287.4742283324917
9	snuke	2281.5752920790915
10	phocom	2274.5523171486457
11	mojashi	2272.4247006704572
12	tomerun	2268.350559812782
13	tashikani	2258.668634572167
14	hiro116s	2252.250044115347
15	goodbaton	2251.768614475981
16	tantal	2250.5491225110663
17	E869120	2247.9113774470247
18	mamekin	2246.1479692224693
19	takumi152	2245.734954278118
20	tanzaku	2242.5605019379595
21	tanakh	2241.3016524187033
22	iehn	2217.146966402544
23	yamunaku	2213.4683256387516
24	titia	2209.399055868989
25	Aquarius	2201.140967336223
26	ichyo	2159.488130449975
27	sumoru	2156.71477668413
28	nhho	2155.853670503299
29	nagitaosu	2152.070587807981
30	mtsd	2140.3659627762477
31	kuhaku	2134.2441888361764
32	hitonanode	2133.104423451758
33	cielavenir	2129.5839807276984
34	ekiden	2123.55411608021
35	kenntin	2105.7819726604785
36	4bungi	2094.2494841529415
37	sensaur	2086.576201366662
38	ganariya	2085.278970184749
39	fgwiebfaoish	2070.5668774667165
40	wat_shun	2063.410082192543
41	Inaniwa	2055.739731122607
42	Taiyo	2039.8722804630363
43	kotamanegi	2036.5442655724607
44	Jiro_tech15	2022.2779493304838
45	fmhr	2013.7349295665927
46	gobi	1981.3330734953174
47	to-hutohu	1945.4078160269971
48	unsre	1942.6956096993963
49	remin	1935.406702198703
50	molety	1891.5905609649205
51	riantkb	1890.1167209683217
52	koikuchi	1875.2374113003807
53	ryuk	1867.8157256753861
54	kimiyuki	1852.832128146453
55	nyanko	1850.600494172637
56	qLethon	1826.6410491089907
57	mkan_0141	1778.852523311033
58	Arakoma	1769.7632817074764
59	Tlapesium	1743.8040115984666
60	siman	1736.0208971704621
61	uchiiii	1730.782229031528
62	shindannin	1718.335180429635
63	Joe75792433	1666.019750391431
64	Kuri174	1648.848599332607
65	bowwowforeach	1539.7513131810683
66	uwi	1502.709561265526
67	daisyo	1455.0601503759399
68	physics0523	1454.8290355179986
69	hidekiy	1347.1199278256456
70	ymduu	1249.5827394827393
71	tobiuo1990	1086.8358724996426
72	kcvlex	1036.9454545454546
73	yowa	622.9971416263296
74	asdfgh	458.5998701298701
75	rigy	169.71428571428572
