rank	ID	score
1	omu	2744.6650245013384
2	takoshi	2725.516124833558
3	rickytheta	2715.9744722659098
4	iwashi31	2671.237813792851
5	kusano	2634.1905462918708
6	tantal	2626.9625995531183
7	fuppy	2626.4283419672342
8	shr	2576.8459407309338
9	takumi152	2554.5800026986785
10	mamekin	2507.2889112594053
11	E869120	2493.3025674038063
12	kimiyuki	2492.1525562223655
13	y_kawano	2443.428875121132
14	cielavenir	2440.8429242805064
15	kotamanegi	2437.241965118888
16	tomerun	2432.6241716195486
17	hitonanode	2432.2026072007197
18	tanzaku	2427.7051846144996
19	ekiden	2414.404431998255
20	iehn	2413.4058365792207
21	Jiro_tech15	2410.0298272845807
22	wat_shun	2407.415584415585
23	nhho	2360.117447741563
24	Taiyo	2338.425526405615
25	riantkb	2309.9999217421628
26	hiro116s	2290.708767665741
27	goodbaton	2280.4261380287076
28	sumoru	2265.126473108189
29	31536000	2255.9705699533097
30	Inaniwa	2229.935606904922
31	snuke	2227.0000879584545
32	mtsd	2225.926477145264
33	kenntin	2206.135612577978
34	nagitaosu	2204.5832663608835
35	mojashi	2183.236491777018
36	fmhr	2171.4413902647584
37	fgwiebfaoish	2171.4413902647584
38	Joe75792433	2155.112975400305
39	remin	2145.7541444885173
40	ganariya	2143.1979765377864
41	tashikani	2141.007182924836
42	tobiuo1990	2107.239008406142
43	omochana2	2097.2015979492307
44	qLethon	2096.7157451983626
45	unsre	2091.74786463244
46	to-hutohu	2080.2969608659528
47	jacky	2076.5205155489643
48	asdfgh	2006.702226458825
49	ichyo	1972.6458281934458
50	mkan_0141	1958.8161204481794
51	tanakh	1941.0823540969611
52	ms5	1929.8584472540413
53	titia	1917.6967479469656
54	Aquarius	1797.3291185513451
55	ryuk	1765.0176575012686
56	4bungi	1764.9685036766462
57	daisyo	1699.3874100574017
58	molety	1679.6650540081725
59	physics0523	1673.1515151515152
60	uchiiii	1661.4234565769443
61	yamunaku	1614.350271034427
62	sensaur	1387.254469850973
63	Arakoma	1269.7545621188324
64	nyanko	1218.9260929740683
65	hidekiy	1194.0418637447924
66	bowwowforeach	1193.7991655687308
67	hdnkt	1098.0354366132144
68	gobi	1030.5660151000486
69	Tlapesium	593.7833333333333
70	ymduu	528.6014427042264
71	siman	454.3809523809524
72	kcvlex	240.39514066496162
73	phocom	89.83333333333334
74	rigy	83.33333333333333
