rank	ID	score
1	takumi152	3309.566825252129
2	omu	3280.9390924195
3	fuppy	3199.6306972840675
4	rickytheta	3126.320869972821
5	tantal	3088.419502060284
6	tanzaku	3087.2870946312382
7	takoshi	2962.490332772084
8	mojashi	2876.696926683741
9	hitonanode	2815.538008978153
10	kimiyuki	2799.374173401418
11	E869120	2797.9455739765344
12	Dente	2657.738449574162
13	riantkb	2593.3669579760185
14	Inaniwa	2584.4189149343947
15	ichyo	2572.5491605364605
16	y_kawano	2495.7777621453906
17	nagitaosu	2490.010068895459
18	rigy	2452.4621075371488
19	kotamanegi	2444.9933418858905
20	titia	2432.988845175203
21	kusano	2432.232193141561
22	fgwiebfaoish	2427.0010066929503
23	iehn	2415.8687778497383
24	gobi	2401.680508489268
25	ekiden	2401.427401602996
26	iwashi31	2401.08911910843
27	snuke	2393.3352135824784
28	31536000	2388.315641349907
29	neterukun	2384.177401602996
30	ganariya	2360.5350294154423
31	tobiuo1990	2354.3849718297133
32	Taiyo	2349.1728822895793
33	Imperi	2338.649056348644
34	qLethon	2336.9050826611706
35	mtsd	2335.0877755312113
36	masutech16	2331.132670927776
37	unsre	2317.485794510649
38	bowwowforeach	2317.485794510649
39	wat_shun	2265.1174883796693
40	Jiro_tech15	2225.6743616963163
41	tomerun	2198.621869463454
42	kenntin	2189.705629080224
43	jacky	2144.183548995255
44	4bungi	2090.3705186106545
45	phocom	2050.8855875811496
46	yamunaku	2033.2016876761938
47	to-hutohu	2029.9473024102585
48	ms5	1947.404179925356
49	hiro116s	1907.0221872521804
50	ryuk	1833.0826365543094
51	cielavenir	1711.8181818181818
52	sensaur	1704.1693285120784
53	remin	1654.3326405327707
54	goodbaton	1636.2123458072303
55	Joe75792433	1622.5231526231228
56	fujiyama	1621.1492841250333
57	uchiiii	1596.5380793554605
58	physics0523	1596.1652967198802
59	Arakoma	1587.2268236789241
60	omochana2	1525.4200759312114
61	sumoru	1431.4047597499425
62	Kuri174	1397.5679032610349
63	nyanko	1319.3415836985334
64	foxgod	1247.0690944874543
65	cyarotomo	1228.7317608861727
66	hdnkt	1114.6134569779374
67	Aquarius	649.719294487641
68	shindannin	448.12782545728913
69	koikuchi	379.0072548030947
70	kryinit	346.11642857142857
71	siman	233.33333333333334
72	nhho	233.33333333333334
73	myrmidon	99.33954248366013
