rank	ID	score
1	shr	2422.0935774098207
2	takumi152	2403.3405409834177
3	tantal	2367.695457956755
4	rickytheta	2354.2992903253344
5	phocom	2342.9197028819303
6	mojashi	2337.008612685904
7	fuppy	2328.218501475965
8	tomerun	2322.4369275858817
9	takoshi	2312.725961514335
10	omu	2312.1892330126234
11	goodbaton	2307.941718593622
12	iwashi31	2287.072565796269
13	snuke	2279.7107693240623
14	E869120	2274.840574585062
15	sumoru	2258.862198687354
16	cielavenir	2257.7905144401498
17	mamekin	2253.7610963955644
18	tanzaku	2252.4950822907376
19	kusano	2250.920022903082
20	mtsd	2234.4919072443995
21	iehn	2228.633162238668
22	31536000	2228.4135758917896
23	nagitaosu	2227.871342409213
24	Aquarius	2209.0815988571203
25	tanakh	2207.940740788822
26	titia	2207.8132791803987
27	ekiden	2193.0696312762216
28	Taiyo	2190.9399108910357
29	tashikani	2172.2823234786083
30	kotamanegi	2167.3594912462154
31	ichyo	2163.135591836652
32	hiro116s	2151.364610620087
33	Jiro_tech15	2146.8529798176555
34	sensaur	2146.1084476450737
35	hitonanode	2138.6337980287794
36	kimiyuki	2134.677263014763
37	kenntin	2119.6804595254744
38	wat_shun	2113.5259537563397
39	fmhr	2108.0236699987136
40	gobi	2102.020729442977
41	4bungi	2097.3165027717932
42	fgwiebfaoish	2095.1054988304923
43	kuhaku	2077.0816991455213
44	nhho	2051.8841515546083
45	ganariya	2041.9702890108965
46	mkan_0141	2039.804059239126
47	riantkb	2013.6067648108724
48	Inaniwa	1993.280956568219
49	koikuchi	1989.1852222502935
50	unsre	1954.7827360681235
51	to-hutohu	1929.7872553041977
52	molety	1901.723108784186
53	remin	1879.6504361047976
54	qLethon	1869.1700249945757
55	ryuk	1855.7343389266782
56	nyanko	1834.7202594676517
57	asdfgh	1824.368762535914
58	uchiiii	1810.4355056669885
59	tobiuo1990	1808.1827716251446
60	siman	1798.97524013214
61	physics0523	1702.9017269037645
62	Joe75792433	1691.8003776551382
63	shindannin	1688.4761620755016
64	Kuri174	1650.8419290275294
65	Tlapesium	1595.292637171287
66	yowa	1560.7598232650691
67	hidekiy	1557.34832763235
68	uwi	1444.6181599758866
69	yamunaku	1382.2997178389812
70	ymduu	1365.7892144468804
71	y_kawano	1059.1519064815059
72	Arakoma	78.59564000455114
73	rigy	56.14285714285714
74	kcvlex	54.857142857142854
