rank	ID	score
1	takumi152	3221.5415202436357
2	rickytheta	3180.6574882302502
3	kusano	3176.728286647386
4	mojashi	3120.949024573138
5	hitonanode	3118.095867454409
6	takoshi	3056.477293279156
7	fuppy	3038.20556947004
8	tanzaku	3028.7126843988412
9	kimiyuki	3019.5826195018635
10	E869120	2990.531448700208
11	goodbaton	2843.6063284796287
12	nagitaosu	2764.23811631399
13	y_kawano	2763.542798094877
14	riantkb	2665.873372132769
15	Taiyo	2619.4650796697615
16	mtsd	2619.0213304411423
17	kotamanegi	2609.4137261531882
18	fgwiebfaoish	2587.435449236637
19	gobi	2580.0769176856697
20	tomerun	2579.154481254037
21	neterukun	2578.766855484622
22	ekiden	2576.549461696795
23	iehn	2561.175855080444
24	jacky	2541.974338125526
25	snuke	2532.883838252423
26	masutech16	2522.0447161666075
27	tobiuo1990	2499.0326424228547
28	ganariya	2496.4373102205095
29	sumoru	2484.2134958376887
30	Dente	2478.9305769050347
31	31536000	2477.6924610904716
32	omu	2475.708449870588
33	tantal	2465.090574097385
34	to-hutohu	2455.955315229351
35	Imperi	2446.9542651255633
36	ichyo	2289.4387465576424
37	hiro116s	2248.7992861317966
38	ryuk	2232.019208431469
39	mamekin	2228.0601556970137
40	unsre	2215.337391740588
41	bowwowforeach	2215.337391740588
42	4bungi	2159.9361804675545
43	qLethon	2143.528958414892
44	Jiro_tech15	2063.6972642414007
45	phocom	2063.6257838117176
46	remin	1983.1754291484403
47	yamunaku	1781.6929176938645
48	iwashi31	1719.3224065572656
49	koikuchi	1655.1357318412574
50	rigy	1619.7934728059831
51	Joe75792433	1537.3007696660882
52	titia	1493.1492059355867
53	sensaur	1484.2122656942556
54	Arakoma	1471.4866800838195
55	uchiiii	1432.139619800311
56	kenntin	1398.0972702744527
57	hdnkt	1391.2668689563968
58	omochana2	1376.6552134735036
59	physics0523	1355.2873501498502
60	fujiyama	1124.6963681946606
61	foxgod	1083.4231304371178
62	mkan_0141	1011.3593724333615
63	cielavenir	859.2207792207793
64	hidekiy	782.8417327789517
65	Aquarius	744.593879976233
66	myrmidon	668.5774538420013
67	siman	527.7705026455026
68	shindannin	495.8354511631345
69	daisyo	490.2952380952381
70	nyanko	324.55343326264375
71	kryinit	202.0
72	nhho	44.44444444444444
