rank	ID	score
1	takumi152	5648.843412068145
2	snuke	5076.014082449724
3	tanzaku	4828.707580856163
4	mtsd	4729.419362434799
5	tantal	4718.544362434799
6	fuppy	4501.612446594475
7	E869120	4368.047474562686
8	kotamanegi	4099.36689110825
9	yamunaku	4071.3425627973907
10	fgwiebfaoish	3897.1526107532777
11	hitonanode	3532.1382366270823
12	masutech16	3486.8805077976035
13	iehn	3460.193761469906
14	hiro116s	3452.7964209771703
15	to-hutohu	3359.380817619437
16	goodbaton	3345.7156411094634
17	daisyo	3176.5072513142172
18	unsre	3060.025197025197
19	rickytheta	3034.009720723032
20	gobi	3014.083932752349
21	Imperi	2822.0988617134353
22	takoshi	2725.6798953626367
23	sumoru	2705.915945076969
24	omu	2703.6729480522313
25	Taiyo	2682.1459934116597
26	uchiiii	2664.317469643173
27	ms5	2620.057341789916
28	Inaniwa	2595.217235027876
29	kenntin	2593.9187797247473
30	kusano	2589.4189753451483
31	fujiyama	2578.727300577408
32	iwashi31	2548.7416825821233
33	titia	2472.879960644865
34	riantkb	2451.1587311338467
35	4bungi	2389.021884556792
36	Joe75792433	2332.421866893857
37	ryuk	2322.5522564584503
38	HIRO170	2315.187561385123
39	nagitaosu	2311.322078196253
40	ekiden	2270.3169525550056
41	ganariya	2175.363419828067
42	neterukun	2169.283210871254
43	nyanko	2108.1481656243654
44	Dente	1965.7139316287498
45	mkan_0141	1907.466311588084
46	hdnkt	1754.4763561859534
47	sensaur	1559.7735250331696
48	shindannin	1525.4929907464098
49	myrmidon	1382.032714123532
50	phocom	374.94636515445336
51	cielavenir	320.0
52	GennadyCroquettevich	235.82954545454544
53	kryinit	131.0
