rank	ID	score
1	omu	3223.3755926731396
2	tantal	3212.2614808650737
3	kusano	3176.2388622612093
4	takumi152	3153.1886123373624
5	takoshi	3134.7749673344906
6	hitonanode	3112.119049359875
7	tanzaku	3110.8081381385177
8	goodbaton	3078.790516906052
9	kimiyuki	3057.278181837421
10	mojashi	2912.9697310994397
11	rickytheta	2893.2397794797794
12	E869120	2856.1270898450207
13	daisyo	2794.2146339422084
14	y_kawano	2781.88994889865
15	riantkb	2775.1820751730825
16	fuppy	2657.1176599388714
17	iehn	2656.394036835608
18	gobi	2653.555385982201
19	kotamanegi	2633.983225451299
20	Taiyo	2632.8695573748523
21	31536000	2628.0430025658557
22	Dente	2615.5759631388787
23	snuke	2610.5524747623685
24	fgwiebfaoish	2607.3452439595353
25	mtsd	2594.6353302168895
26	Imperi	2585.7147618724125
27	masutech16	2582.615794813052
28	neterukun	2572.286990340037
29	ekiden	2572.286990340037
30	jacky	2560.858532247824
31	remin	2549.071448262036
32	tobiuo1990	2541.2297564131654
33	ganariya	2521.5970429150334
34	ichyo	2438.7969229606956
35	sumoru	2429.4431722172503
36	unsre	2423.604135262007
37	bowwowforeach	2423.604135262007
38	qLethon	2407.5640992399294
39	rigy	2379.416754109197
40	to-hutohu	2300.2252645704566
41	koikuchi	2296.4120954010655
42	nagitaosu	2260.5008922450097
43	4bungi	2245.487882688252
44	Jiro_tech15	2216.4612488870907
45	ryuk	2170.7612317537323
46	yamunaku	2170.2342109413557
47	hiro116s	2149.9803764500634
48	phocom	2149.06532024115
49	iwashi31	1908.5468942222205
50	titia	1845.3181750878182
51	fujiyama	1819.5832567641578
52	foxgod	1628.8786654923988
53	uchiiii	1581.0267630066337
54	Arakoma	1572.4469624765366
55	Joe75792433	1570.7332735912823
56	omochana2	1428.7981601176791
57	hdnkt	1352.6464246789199
58	physics0523	1302.9319537350955
59	sensaur	1293.8416328847359
60	cielavenir	1177.3636363636365
61	mkan_0141	904.0939166757195
62	nyanko	808.5135808635808
63	hidekiy	761.0351974752465
64	kenntin	678.7966386554622
65	kryinit	552.1991747499812
66	shindannin	385.32160873623565
67	Kuri174	293.5777224529856
68	Aquarius	191.77272727272725
69	nhho	133.33333333333331
70	myrmidon	103.3372594430659
71	siman	87.24358974358975
72	wat_shun	44.8
73	tomerun	26.31578947368421
