rank	ID	score
1	shr	2282.3594324478463
2	tanzaku	2208.492999403596
3	tomerun	2201.714673913725
4	rickytheta	2190.7695782475284
5	tantal	2173.933542036892
6	mamekin	2164.07726468018
7	mojashi	2158.7589518405002
8	takoshi	2158.4311871993505
9	iwashi31	2150.7677004527486
10	kusano	2150.4871656075984
11	kotamanegi	2144.876337827044
12	snuke	2143.409068062239
13	iehn	2137.444144349205
14	31536000	2133.984627729341
15	titia	2133.6894578493298
16	fuppy	2120.356857705013
17	omu	2120.121400928274
18	tanakh	2110.281943808695
19	Aquarius	2098.553449186638
20	hiro116s	2092.5508281587695
21	yamunaku	2090.604509798912
22	ichyo	2085.3400707421133
23	goodbaton	2064.935140669146
24	phocom	2054.043239217127
25	E869120	2044.2083512383342
26	sumoru	2019.481430480507
27	tashikani	2016.4537899813258
28	cielavenir	2009.5385772028676
29	Jiro_tech15	1996.7980777731314
30	sensaur	1982.0532012823157
31	nhho	1974.288484357584
32	4bungi	1970.6486370771047
33	gobi	1939.8202386097528
34	kuhaku	1921.262589077716
35	hitonanode	1921.0930335553164
36	fmhr	1913.1743524612937
37	ekiden	1912.1720011585169
38	Inaniwa	1908.5443952555424
39	wat_shun	1905.571326174801
40	fgwiebfaoish	1901.9710047348165
41	nagitaosu	1896.9553775517575
42	kenntin	1892.7239476259294
43	ganariya	1860.609352678476
44	takumi152	1833.6535656527951
45	unsre	1820.6167273000071
46	mtsd	1820.2261886629497
47	to-hutohu	1789.3117505540588
48	mkan_0141	1754.7648377166468
49	ryuk	1743.2616198092069
50	riantkb	1741.954237380501
51	koikuchi	1741.2304278566917
52	nyanko	1735.4570249590704
53	Taiyo	1704.3364298476392
54	uchiiii	1697.3798705811582
55	remin	1690.4281372681367
56	kimiyuki	1686.237315146727
57	qLethon	1645.3695288315562
58	molety	1638.3718769510087
59	tobiuo1990	1626.7278586597997
60	y_kawano	1553.6069715789545
61	physics0523	1512.1358337670408
62	Tlapesium	1505.0524015144288
63	yowa	1461.844309251128
64	Joe75792433	1414.581718136405
65	siman	1361.4812181970078
66	Kuri174	1349.7204488714808
67	asdfgh	1323.0577814448777
68	uwi	1294.5044263617428
69	shindannin	1227.9767434336695
70	ymduu	1157.9802009916561
71	daisyo	1134.2994987468671
72	tokotoko7777	1111.126217648231
73	bowwowforeach	913.8342276895527
74	hdnkt	814.418305555763
75	Arakoma	205.52147931256616
76	hidekiy	138.50877192982455
77	roahhhh	53.55555555555555
78	kcvlex	47.55555555555555
79	rigy	28.0
