rank	ID	score
1	omu	3707.6688904502657
2	takumi152	3698.91570943217
3	rickytheta	3537.03906560714
4	takoshi	3503.250273488325
5	hitonanode	3474.5994333995845
6	fuppy	3468.8694694686137
7	E869120	3344.43448800467
8	tanzaku	3205.397829628193
9	kimiyuki	3137.792160817728
10	tantal	3037.9394873279307
11	kotamanegi	2934.8641728260636
12	kusano	2920.2499752496265
13	neterukun	2886.970262204093
14	qLethon	2886.8250425587753
15	ekiden	2886.8250425587753
16	nagitaosu	2873.043177427241
17	mtsd	2833.8974862839077
18	Taiyo	2826.9404270908085
19	Imperi	2825.5522072996287
20	tobiuo1990	2824.437094876249
21	snuke	2823.850570891311
22	iwashi31	2820.1480686111995
23	hiro116s	2819.380516689697
24	ganariya	2786.9441124967175
25	titia	2773.9730698123603
26	31536000	2771.391946574259
27	sumoru	2742.606603646218
28	riantkb	2739.842827257508
29	4bungi	2613.4018636668106
30	to-hutohu	2603.613668098252
31	Jiro_tech15	2573.9094535757163
32	tomerun	2534.4959125844994
33	rigy	2500.9929550841316
34	iehn	2468.735664234075
35	Inaniwa	2441.390987506101
36	fgwiebfaoish	2260.97965379716
37	unsre	2160.7671088268535
38	physics0523	2134.1931715343485
39	yamunaku	1960.6659973903313
40	bowwowforeach	1840.4974951519068
41	uchiiii	1817.7963951991194
42	jacky	1816.194736391748
43	koikuchi	1751.8723927187702
44	HIRO170	1751.3625522795155
45	fujiyama	1737.8490637646894
46	nyanko	1718.082696882
47	sensaur	1690.871782890897
48	Joe75792433	1592.611038435862
49	Dente	1559.6942455242968
50	hdnkt	1537.8466917296323
51	wat_shun	1506.6067833982909
52	kenntin	1484.1843394909843
53	phocom	1318.3700802260298
54	goodbaton	1229.6190773859907
55	shindannin	1199.7085663290657
56	cielavenir	820.2
57	ms5	697.6289862421442
58	ryuk	401.6666666666667
59	masutech16	355.3108465608465
60	kryinit	332.1136176722748
61	cyarotomo	249.3705738705739
62	myrmidon	238.65676864801867
63	mkan_0141	236.37878787878788
64	siman	57.14285714285714
65	nhho	57.14285714285714
66	Arakoma	28.727272727272727
