rank	ID	score
1	omu	2880.009386465647
2	shr	2811.093033239567
3	fuppy	2810.4958380769913
4	kotamanegi	2809.559705782021
5	takumi152	2777.2295363632315
6	tantal	2739.163314661004
7	rickytheta	2738.2134188761943
8	kusano	2735.526119690663
9	tanzaku	2704.884336268021
10	takoshi	2700.144174769064
11	hitonanode	2665.177891581344
12	iehn	2634.3396764539943
13	E869120	2595.245842999822
14	nhho	2586.718387739227
15	ekiden	2553.1890460993054
16	kimiyuki	2551.063632884018
17	Inaniwa	2536.547470317006
18	goodbaton	2483.7618090333917
19	Aquarius	2482.741954299023
20	mojashi	2455.6138316468396
21	Jiro_tech15	2453.160494067336
22	nagitaosu	2436.4992227170615
23	y_kawano	2431.1047753293615
24	31536000	2372.791945863969
25	riantkb	2359.8742699577792
26	fgwiebfaoish	2334.976736021428
27	iwashi31	2334.2268370720412
28	snuke	2313.132818212367
29	gobi	2309.256467605086
30	masutech16	2305.471804132878
31	koikuchi	2302.2650392904875
32	unsre	2301.1183142808027
33	ganariya	2296.9426585496144
34	cielavenir	2269.881710010183
35	tobiuo1990	2262.8539971474706
36	kenntin	2244.0897357656236
37	mkan_0141	2231.2945363316885
38	tashikani	2225.4402382654475
39	titia	2205.00560742336
40	Taiyo	2194.2600492687316
41	to-hutohu	2162.321446421063
42	yamunaku	2141.4253320619478
43	tanakh	2135.4725246291937
44	physics0523	2125.29102491759
45	phocom	2095.8281094162626
46	ryuk	2040.2422151328706
47	ichyo	2002.1333750367112
48	Tlapesium	1972.789806840202
49	ms5	1969.8271744847484
50	bowwowforeach	1944.9911340085184
51	Dente	1904.3697640594698
52	qLethon	1821.1734246017468
53	uchiiii	1779.4185301774387
54	mamekin	1731.540269817784
55	sumoru	1700.596545415369
56	sensaur	1625.9923161634777
57	4bungi	1498.5493475557814
58	Kuri174	1476.522418971517
59	Arakoma	1466.5131330753259
60	remin	1426.518160941866
61	kuhaku	1386.409696112524
62	fmhr	1354.734596549214
63	mtsd	1324.8418877854917
64	Joe75792433	1298.8985553309476
65	fujiyama	1248.929076992653
66	nyanko	1238.5460864694062
67	jacky	1192.021702387141
68	hdnkt	1182.598436575201
69	molety	1126.4291116785082
70	hidekiy	889.7662960286378
71	foxgod	793.8450216450217
72	siman	734.4
73	ymduu	506.97121767121774
74	omochana2	363.11985645933015
75	rigy	352.79497943576894
76	wat_shun	254.59535094535093
77	koyumeishi	154.1811099439776
78	hiro116s	125.67857142857142
79	daisyo	21.0
