rank	ID	score
1	takoshi	2954.4945514349083
2	omu	2943.8799467683943
3	yamunaku	2888.016973119811
4	fuppy	2843.433673331307
5	rickytheta	2824.0933926396915
6	kusano	2817.7216513423873
7	tomerun	2807.809438601971
8	tanzaku	2797.1223341925524
9	shr	2788.5516173404353
10	iwashi31	2782.7483602343204
11	tantal	2773.3511850494488
12	Jiro_tech15	2764.902730577396
13	mamekin	2751.072579631963
14	ichyo	2734.5012126211586
15	y_kawano	2729.38953802935
16	E869120	2709.102626511469
17	mojashi	2687.5120497538155
18	hitonanode	2664.253326042782
19	kotamanegi	2606.4207515520075
20	snuke	2594.811517326173
21	ekiden	2586.42446344535
22	nhho	2584.040440268035
23	goodbaton	2580.7901186450417
24	cielavenir	2559.862187998096
25	sumoru	2555.40619082818
26	iehn	2535.229731938542
27	phocom	2526.7442972235717
28	31536000	2514.6314493301757
29	mtsd	2488.136430577691
30	nagitaosu	2479.3024518101524
31	Aquarius	2462.2854066957398
32	kimiyuki	2452.9143428385055
33	riantkb	2429.9918901288015
34	koikuchi	2388.2131022500134
35	tanakh	2349.5690357211797
36	Taiyo	2342.089018611355
37	Inaniwa	2334.3158931028815
38	gobi	2319.380413855732
39	4bungi	2295.4219512066074
40	siman	2287.5002533739375
41	qLethon	2263.6272112662637
42	titia	2259.3677574613716
43	unsre	2227.8472265568585
44	fgwiebfaoish	2224.8979238783077
45	tashikani	2197.885624532847
46	remin	2191.3712246374894
47	ganariya	2164.2889952804026
48	jacky	2066.9043183105427
49	omochana2	2064.0361129206885
50	to-hutohu	2054.1344305306484
51	hiro116s	2053.9862283230405
52	physics0523	2032.8748079298857
53	takumi152	1982.8921920185076
54	asdfgh	1936.2017488903768
55	bowwowforeach	1919.0859010270776
56	daisyo	1877.5777777777778
57	Kuri174	1753.7224299640955
58	Arakoma	1730.492631960014
59	molety	1727.8710106874792
60	ryuk	1724.591425144125
61	Joe75792433	1664.9038985204065
62	ms5	1631.5220997465055
63	Tlapesium	1607.5531135531135
64	nyanko	1321.130245755699
65	hdnkt	1141.8102026217314
66	fmhr	906.1880272670097
67	hidekiy	843.6351925497415
68	kenntin	742.3832470263362
69	sensaur	697.2610888397033
70	ymduu	534.8983130904184
71	fujiyama	531.0
72	uchiiii	360.73246161190974
73	rigy	33.75
74	tobiuo1990	6.0
