rank	ID	score
1	shr	2364.0738963183253
2	fuppy	2345.4791888470586
3	takoshi	2304.7013681317517
4	phocom	2299.7819597801868
5	tomerun	2290.041551305431
6	tanakh	2286.210432351072
7	tantal	2282.0633544271245
8	rickytheta	2281.8915323962206
9	31536000	2281.5074295151167
10	snuke	2269.8236323556075
11	goodbaton	2267.3092599349557
12	iwashi31	2265.742120431813
13	kotamanegi	2264.012923195584
14	Aquarius	2238.8633452828685
15	E869120	2238.638944363139
16	mojashi	2237.9040436493856
17	omu	2236.919508751324
18	mamekin	2235.988484697686
19	kusano	2234.1307905634426
20	yamunaku	2227.619952352317
21	nagitaosu	2220.9715727017424
22	iehn	2217.5708164075836
23	hiro116s	2214.0972169268557
24	titia	2202.3546284842696
25	tanzaku	2198.7814846965434
26	tashikani	2193.4146982898806
27	sensaur	2169.983004352158
28	sumoru	2166.3836996008195
29	takumi152	2156.270408723585
30	mtsd	2140.6096821925225
31	Jiro_tech15	2139.593372180249
32	ekiden	2135.13917187429
33	ichyo	2133.692044025119
34	gobi	2125.8501961572942
35	cielavenir	2110.619009688416
36	kenntin	2091.6587064881
37	ganariya	2088.592807465823
38	kuhaku	2082.2293541183844
39	fgwiebfaoish	2067.8364285426474
40	4bungi	2053.559242658731
41	Inaniwa	2005.6964078378796
42	wat_shun	2003.9039491420426
43	remin	1995.7030390953278
44	hitonanode	1980.564609155515
45	nhho	1958.2019441472726
46	Taiyo	1928.834603634211
47	to-hutohu	1893.3575648241829
48	uchiiii	1879.357001250057
49	uwi	1853.3603696966393
50	fmhr	1851.778100144558
51	bowwowforeach	1851.1642264423872
52	unsre	1838.9078035600205
53	riantkb	1809.4248123144114
54	koikuchi	1805.2422726318714
55	qLethon	1800.3698860026418
56	molety	1767.11739641106
57	Kuri174	1726.1504437999847
58	mkan_0141	1696.8014382790159
59	shindannin	1689.3466012476254
60	Tlapesium	1687.6495531976361
61	kimiyuki	1678.3253192459715
62	siman	1624.9766209000763
63	ryuk	1618.1958953703017
64	y_kawano	1596.5746486168698
65	yowa	1596.5497554150968
66	tobiuo1990	1575.4702787131118
67	Joe75792433	1566.7432314928037
68	asdfgh	1534.6653348566574
69	Arakoma	1477.8688664000877
70	hidekiy	1381.3373091690373
71	physics0523	1374.2212031746274
72	daisyo	1213.3219649915302
73	nyanko	1064.9441828731183
74	ymduu	878.1847636621251
75	kcvlex	285.80808080808083
76	rigy	21.166666666666664
