rank	ID	score
1	tomerun	7478.539744916919
2	rickytheta	3482.9801362249577
3	fujiyama	3386.3128420208664
4	nyanko	3327.14580974581
5	to-hutohu	3314.4521090021085
6	tantal	3292.6397119433573
7	ekiden	3241.5855494179023
8	iwashi31	3192.976491808846
9	mkan_0141	3150.5820780526656
10	kenntin	3099.779192908541
11	titia	3097.5129031915794
12	yamunaku	3022.3420850391435
13	tanzaku	2996.800818707436
14	sumoru	2983.871094918153
15	neterukun	2891.2171647796645
16	takumi152	2845.4686313083057
17	fuppy	2795.0479995494707
18	4bungi	2740.4352312719957
19	Inaniwa	2664.7239900622253
20	sensaur	2651.071452567041
21	nagitaosu	2612.094685869686
22	Imperi	2604.5700766553705
23	gobi	2552.351453285277
24	Taiyo	2526.7808303021216
25	phocom	2218.2399994826146
26	masutech16	2048.319987039105
27	Dente	1996.6417294306998
28	snuke	1585.7462943918827
29	omu	1428.9062104562104
30	karasuex54	892.9713203463202
31	Joe75792433	678.1174477696217
32	fgwiebfaoish	615.7675476697215
33	Arakoma	442.635129576306
34	mtsd	380.9416568938308
35	kusano	277.4551282051282
36	hdnkt	218.93939393939394
37	kotamanegi	204.89682539682542
38	ganariya	134.0
39	cielavenir	33.33333333333333
40	iehn	24.083333333333332
