rank	ID	score
1	shr	3079.6223573998154
2	kusano	2971.162366537414
3	takumi152	2954.7961827178865
4	hitonanode	2881.165163473043
5	tantal	2871.173454355416
6	rickytheta	2839.7125798942848
7	fuppy	2775.551056182255
8	tanzaku	2747.395523665491
9	tomerun	2720.682732367963
10	E869120	2709.001457563504
11	y_kawano	2630.6545606929276
12	kimiyuki	2617.543943716131
13	goodbaton	2617.281666905481
14	takoshi	2591.919900108414
15	yamunaku	2544.615578576296
16	omu	2536.028192998692
17	Jiro_tech15	2500.0695877123594
18	kotamanegi	2441.5437526708433
19	gobi	2423.7889358837742
20	Taiyo	2411.8777102358385
21	iehn	2385.884406796109
22	ekiden	2374.950515825978
23	to-hutohu	2355.8265898922696
24	remin	2352.7458182274836
25	fgwiebfaoish	2350.3354345038283
26	iwashi31	2333.1239687250186
27	masutech16	2329.434259133296
28	riantkb	2322.410271660277
29	jacky	2320.2050285470764
30	snuke	2301.7894167568825
31	tobiuo1990	2289.293769990462
32	nagitaosu	2243.343675066046
33	koikuchi	2236.447492838645
34	Dente	2232.0722583682305
35	Imperi	2208.013221103095
36	sumoru	2200.5467336257143
37	ganariya	2191.67502209061
38	Inaniwa	2163.7148425188802
39	ryuk	2162.57187969866
40	ms5	2090.032364735901
41	qLethon	2074.229179422246
42	4bungi	2070.8262742643487
43	physics0523	2043.1273590928943
44	ichyo	2021.771929651335
45	kenntin	2017.6972600136476
46	unsre	1910.5444568265214
47	bowwowforeach	1910.5444568265214
48	neterukun	1813.8846449343127
49	HIRO170	1721.4610332162895
50	daisyo	1634.7006664734856
51	Aquarius	1599.2836153030755
52	fmhr	1592.1726200329606
53	titia	1540.1281727197643
54	phocom	1490.0586055516717
55	Arakoma	1443.3195895054307
56	uchiiii	1415.6686259225714
57	sensaur	1386.2838286430153
58	Joe75792433	1343.1676452120819
59	hiro116s	1282.8127182112696
60	foxgod	1247.0862218516272
61	myrmidon	1244.10847783961
62	tashikani	1239.5681274927222
63	mkan_0141	1227.0109643117326
64	molety	1172.355185609699
65	fujiyama	1120.2766000078575
66	rigy	1085.204229673744
67	wat_shun	920.4947764033582
68	Tlapesium	785.4002154708038
69	shindannin	690.1105852797751
70	hidekiy	652.9303147192602
71	31536000	454.8645162680016
72	omochana2	396.8068624082546
73	cielavenir	395.64705882352945
74	mtsd	363.44300859697285
75	siman	165.85008553274682
76	mojashi	112.5
77	nyanko	79.82738095238095
78	mamekin	70.9659090909091
79	hdnkt	44.44444444444444
80	kcvlex	28.0
