rank	ID	score
1	shr	2311.8571193620305
2	takoshi	2240.0435732570472
3	tomerun	2234.9524385950313
4	tanzaku	2204.9916562342655
5	31536000	2196.464733232155
6	fuppy	2188.2427659221785
7	iwashi31	2187.5402579636516
8	hiro116s	2180.0819034164356
9	tantal	2178.6384234359048
10	mamekin	2174.1463752705135
11	kotamanegi	2168.212022379762
12	omu	2153.6191326202497
13	phocom	2148.129656042432
14	Aquarius	2140.846362051532
15	tashikani	2138.2803801103873
16	snuke	2131.630208267049
17	ekiden	2122.524776619703
18	rickytheta	2121.0213673074522
19	goodbaton	2115.2407276178055
20	sensaur	2090.2958376248002
21	kusano	2088.570709743787
22	Jiro_tech15	2088.0584434731754
23	titia	2085.6643088919964
24	mtsd	2080.0133226032312
25	cielavenir	2079.941936384552
26	E869120	2066.6687047333166
27	mojashi	2055.8208157436657
28	tanakh	2055.6230051091193
29	ichyo	2048.3483315849458
30	gobi	2038.3342899413485
31	nagitaosu	2036.9801953530948
32	iehn	2031.2606269836654
33	sumoru	2026.7614024210072
34	yamunaku	2014.7778413889764
35	hitonanode	1999.0776305623724
36	wat_shun	1989.269668500594
37	fgwiebfaoish	1978.970433378162
38	nhho	1965.9461192904344
39	remin	1958.491593060254
40	ganariya	1953.0574691937113
41	4bungi	1951.3936871340914
42	kimiyuki	1941.7396953167236
43	Inaniwa	1940.7531972287388
44	kuhaku	1936.697564807355
45	takumi152	1929.7384545999203
46	fmhr	1925.4971161621627
47	mkan_0141	1921.8684824510174
48	unsre	1857.9405164440825
49	riantkb	1852.3237806293287
50	koikuchi	1843.5347233902717
51	nyanko	1839.3183846701788
52	to-hutohu	1835.6913772643984
53	tobiuo1990	1829.6225994033834
54	kenntin	1828.958039325027
55	qLethon	1802.069305975259
56	uchiiii	1765.7603425418718
57	Tlapesium	1759.5273487918882
58	ryuk	1682.0854175836942
59	Kuri174	1625.1612796411926
60	molety	1618.857787936109
61	uwi	1613.1009145261676
62	Joe75792433	1586.197426045209
63	physics0523	1529.6943095669653
64	shindannin	1518.6368132580917
65	Taiyo	1492.0641158020776
66	siman	1478.2302078726225
67	bowwowforeach	1278.7712916640007
68	ymduu	1275.7683498567708
69	yowa	1236.0471696577836
70	asdfgh	1124.1696969696973
71	hidekiy	859.8475584240985
72	tokotoko7777	834.4613518758903
73	y_kawano	775.785987064435
74	daisyo	388.55954402134375
75	kcvlex	384.0
76	rigy	350.14285714285717
77	Arakoma	198.67206089191185
