rank	ID	score
1	tanzaku	4979.135672361283
2	takumi152	4813.343849626016
3	snuke	4707.762590160883
4	tantal	4559.5970420801295
5	mtsd	4559.5970420801295
6	tomerun	4483.330375413462
7	fuppy	4293.082699531515
8	masutech16	4260.97615388007
9	iehn	4192.011894588638
10	E869120	4007.4748883701072
11	yamunaku	3776.137831391325
12	riantkb	3735.607311653811
13	goodbaton	3585.361187608401
14	hiro116s	3430.4452046749284
15	fgwiebfaoish	3259.0056654522396
16	hitonanode	3079.929381803342
17	unsre	3051.871783771784
18	to-hutohu	2982.1398934398935
19	Imperi	2745.1627177904647
20	rickytheta	2623.485078565226
21	sumoru	2563.2123337641096
22	takoshi	2515.576023739948
23	nagitaosu	2470.6145085189182
24	shindannin	2437.560894967568
25	kenntin	2430.663317908441
26	omochana2	2395.103149686421
27	omu	2389.252204993336
28	ganariya	2360.8181890857077
29	titia	2344.5729480916393
30	kusano	2344.56629683526
31	Joe75792433	2306.430042802914
32	Inaniwa	2275.511314195817
33	ryuk	2216.9274020097546
34	neterukun	2198.821301737105
35	ms5	2182.1453084568175
36	Taiyo	2139.319372091542
37	gobi	2028.2844319632445
38	fujiyama	2012.0618810025544
39	mkan_0141	1914.141851158779
40	4bungi	1906.3675985711686
41	HIRO170	1873.326637559431
42	sensaur	1853.9277283168742
43	hdnkt	1813.385945898899
44	nyanko	1760.8073593889767
45	Dente	1590.8647430227152
46	myrmidon	631.0862165586019
47	daisyo	625.5582574239896
48	uchiiii	375.32419590643275
49	bowwowforeach	273.72127872127874
50	cielavenir	33.33333333333333
51	kyama0922	23.818181818181817
52	kryinit	4.923076923076923
