rank	ID	score
1	takumi152	5119.609742919134
2	tanzaku	4970.212766298812
3	snuke	4913.555067620456
4	mtsd	4707.702490256972
5	tantal	4687.611604280502
6	tomerun	4671.093794604798
7	fuppy	4393.423222423357
8	masutech16	4171.815438858453
9	E869120	4148.500324917002
10	goodbaton	3856.4894381087797
11	fgwiebfaoish	3756.580448645445
12	kotamanegi	3685.238437059492
13	to-hutohu	3660.12977842815
14	unsre	3453.6615224868756
15	yamunaku	3426.256560985829
16	hitonanode	3236.7321227645766
17	titia	2946.818851981912
18	ms5	2789.267664100867
19	takoshi	2631.911784848279
20	kusano	2577.966668007289
21	iwashi31	2562.254805992343
22	nagitaosu	2537.3297173386427
23	Inaniwa	2523.723541985714
24	kenntin	2515.908458557528
25	rickytheta	2480.6460992763905
26	fujiyama	2442.6944075102747
27	Joe75792433	2440.286750635695
28	Imperi	2438.2257207768075
29	omu	2434.69117072597
30	nyanko	2393.473697252927
31	Dente	2390.0766020870956
32	neterukun	2361.887304182035
33	4bungi	2339.0367245413686
34	iehn	2298.6114728359908
35	Taiyo	2293.2127776076686
36	uchiiii	2269.762454090307
37	riantkb	2223.0479547424206
38	daisyo	2178.3589232496533
39	HIRO170	2116.198088502895
40	hiro116s	2080.8895881979925
41	ryuk	2074.9892232699617
42	sensaur	2067.4230092791618
43	ganariya	2050.7516752210636
44	gobi	1975.1255897235753
45	mkan_0141	1932.336147269595
46	sumoru	1923.597705204937
47	shindannin	1777.3509019336136
48	hdnkt	1724.4772792748076
49	myrmidon	1379.0610562202935
50	kryinit	74.28571428571429
51	cielavenir	61.53846153846154
52	gutio	35.77272727272727
