rank	ID	score
1	takumi152	3076.534785586256
2	fuppy	2990.136410652092
3	kusano	2917.7071785800053
4	omu	2905.050892105951
5	tantal	2844.9579792945956
6	rickytheta	2820.4361402670143
7	shr	2820.232863260961
8	tomerun	2755.6666804904703
9	kotamanegi	2729.8365478797086
10	Taiyo	2726.2536228981216
11	nhho	2677.436066778187
12	iehn	2669.9933664974947
13	goodbaton	2666.6599326484766
14	Inaniwa	2660.095102067491
15	hitonanode	2649.7747251972123
16	cielavenir	2598.8150339740796
17	hiro116s	2592.9847671849216
18	Aquarius	2557.318736648164
19	takoshi	2543.6822722452316
20	E869120	2533.3255389033393
21	kimiyuki	2481.647727272727
22	y_kawano	2444.4591876124305
23	tanzaku	2438.9317798262314
24	tanakh	2418.789325435516
25	31536000	2397.602012657886
26	iwashi31	2392.9530196451647
27	ekiden	2392.08424766259
28	riantkb	2370.945468993918
29	gobi	2335.637137614318
30	fgwiebfaoish	2332.033891569647
31	mamekin	2326.648448646383
32	ganariya	2315.6539589950535
33	snuke	2273.5905823751855
34	tobiuo1990	2266.727926732424
35	kenntin	2264.2863076173307
36	unsre	2256.001585265106
37	koikuchi	2254.8230061295785
38	nagitaosu	2253.7766586964726
39	masutech16	2248.2282252668597
40	to-hutohu	2230.937819665198
41	sumoru	2208.5430355124195
42	tashikani	2190.8407199898984
43	ms5	2146.557254176216
44	titia	2132.3188065086406
45	asdfgh	2131.867429449661
46	ryuk	2123.9034569552755
47	physics0523	2060.708683798436
48	mojashi	1902.4135248419477
49	uchiiii	1900.1640215983005
50	bowwowforeach	1898.0532081489948
51	qLethon	1890.683647975108
52	Dente	1831.3714146964148
53	ichyo	1818.787031162741
54	phocom	1760.473333803602
55	Tlapesium	1750.3902057659157
56	Jiro_tech15	1746.7779998085362
57	sensaur	1594.6604329064276
58	Joe75792433	1494.1991680715955
59	molety	1445.7017102906705
60	nyanko	1425.9886961911222
61	kuhaku	1421.278868783616
62	4bungi	1407.3507372398847
63	fujiyama	1388.4312474849462
64	remin	1333.7764301441384
65	hidekiy	1260.3903634275675
66	hdnkt	1156.8868737608175
67	foxgod	940.7654085254086
68	mkan_0141	818.5264061772954
69	koyumeishi	800.9056342512282
70	jacky	702.6931736124702
71	rigy	545.2362063139652
72	siman	524.5714285714286
73	omochana2	422.32500000000005
74	yamunaku	279.65501165501166
75	wat_shun	125.33333333333333
76	ymduu	95.95518207282913
77	kcvlex	69.66666666666666
78	daisyo	56.57142857142857
79	Arakoma	8.0
