rank	ID	score
1	takumi152	3529.259111473973
2	omu	3469.620795810557
3	tanzaku	3253.5613898294787
4	masutech16	3183.1006539541368
5	fuppy	3089.8483524796684
6	hitonanode	2808.5719708683973
7	kimiyuki	2765.785714889168
8	E869120	2748.6403143386865
9	kotamanegi	2722.251987030944
10	iwashi31	2721.656409572561
11	kusano	2712.4106222334076
12	nagitaosu	2709.011001254458
13	mtsd	2703.7812944871735
14	ganariya	2671.8298892631738
15	titia	2666.1459379792054
16	Taiyo	2635.844488054204
17	tobiuo1990	2632.197237894431
18	snuke	2628.1514517683545
19	sumoru	2595.9691745870027
20	rigy	2568.5041126465094
21	Dente	2555.588833715304
22	Imperi	2534.9198083040715
23	4bungi	2516.8364342902814
24	tomerun	2495.766527776581
25	tantal	2472.82122659305
26	unsre	2456.0862929811105
27	ekiden	2444.66053563389
28	riantkb	2427.9371004158734
29	Inaniwa	2415.522992999677
30	Jiro_tech15	2392.211852719632
31	rickytheta	2382.540421744846
32	qLethon	2382.540421744846
33	to-hutohu	2349.16340544884
34	ichyo	2349.16340544884
35	takoshi	2333.354300351322
36	yamunaku	2309.8516938333532
37	wat_shun	2307.683278887703
38	sensaur	2301.229793908593
39	physics0523	2291.0300721155068
40	goodbaton	2237.7109209850437
41	y_kawano	2219.934137757667
42	fgwiebfaoish	2155.4578745286162
43	phocom	2060.2783549509577
44	neterukun	1970.2724763935091
45	koikuchi	1739.9251512254273
46	jacky	1668.2596755539348
47	uchiiii	1616.5836538399308
48	kenntin	1590.0763800526959
49	hiro116s	1588.7285651126888
50	gobi	1584.5971023969823
51	mkan_0141	1560.6312927312422
52	foxgod	1505.1976270237458
53	ms5	1498.518932579103
54	hdnkt	1405.5918689042076
55	fujiyama	1382.604866097029
56	Joe75792433	1361.1358498834031
57	shindannin	1351.329563719479
58	nyanko	1302.7744889114015
59	myrmidon	1220.4573508123349
60	iehn	1219.616744054364
61	31536000	992.4502608502607
62	cielavenir	723.2
63	kryinit	277.04123972169515
64	siman	218.18181818181816
65	nhho	218.18181818181816
66	mojashi	99.6923076923077
67	cyarotomo	90.4
68	bowwowforeach	74.72727272727272
69	HIRO170	13.857142857142858
