rank	ID	score
1	shr	2478.374052951387
2	takoshi	2430.9669993149123
3	kusano	2417.1794761081123
4	rickytheta	2399.124769061832
5	tanzaku	2390.8696087997137
6	tomerun	2364.3274240494075
7	tantal	2354.097849987049
8	phocom	2338.510102534442
9	mamekin	2306.9813647651044
10	E869120	2301.5772369982255
11	takumi152	2300.7184103420946
12	Aquarius	2294.5545703242847
13	iwashi31	2286.808432888831
14	omu	2279.053829177475
15	sumoru	2278.188251603565
16	sensaur	2268.0663627556282
17	mojashi	2258.978484826466
18	Jiro_tech15	2250.660196509646
19	wat_shun	2236.4172060868127
20	goodbaton	2227.6100603212544
21	Taiyo	2220.3656877778767
22	yamunaku	2216.498236712224
23	gobi	2212.717929605914
24	kotamanegi	2191.3439749724957
25	ichyo	2188.5802061605427
26	nhho	2185.612490752143
27	remin	2182.2520833333333
28	hitonanode	2171.081918523092
29	cielavenir	2167.1263819250335
30	riantkb	2163.405275188118
31	ekiden	2162.3154225402222
32	titia	2154.8594835300246
33	kimiyuki	2148.6977897701468
34	Inaniwa	2129.615427776767
35	4bungi	2127.4968511956577
36	mtsd	2094.843003663004
37	ganariya	2084.051785079188
38	hiro116s	2081.7466333494835
39	fmhr	2071.9327690290793
40	nagitaosu	2068.4480818133193
41	fgwiebfaoish	2057.0267675008827
42	kenntin	2056.656728977037
43	Arakoma	1997.9761969747226
44	fuppy	1997.9243567707183
45	koikuchi	1992.7283343717838
46	to-hutohu	1976.3860073392884
47	31536000	1973.585746323919
48	daisyo	1969.326422016509
49	ms5	1944.7358443509338
50	unsre	1940.2662078964395
51	qLethon	1902.525333287135
52	y_kawano	1887.1756479423655
53	tobiuo1990	1849.0403910722466
54	uchiiii	1824.545247299303
55	molety	1815.903475524154
56	Kuri174	1804.2600949011867
57	kuhaku	1804.0069565325305
58	mkan_0141	1788.9639857083828
59	siman	1779.4883138727532
60	asdfgh	1758.8500187485367
61	ryuk	1735.2067711281036
62	physics0523	1716.6022591070018
63	bowwowforeach	1681.4446280819684
64	jacky	1649.192652728141
65	iehn	1636.274949045559
66	tashikani	1524.4964986905686
67	tanakh	1497.6250420756414
68	Tlapesium	1471.0356215444986
69	hdnkt	1242.4212672726794
70	fujiyama	1175.0985834470434
71	uwi	1141.6674792782262
72	tokotoko7777	986.0663604946419
73	Joe75792433	834.5436237152674
74	shindannin	653.4377679915654
75	nyanko	567.0121674840409
76	ymduu	523.7279725829726
77	kcvlex	222.84054739477187
78	rigy	54.375
