rank	ID	score
1	tomerun	6280.412397290534
2	tantal	6150.4695401476765
3	sumoru	3631.8491353675568
4	Inaniwa	3389.9187318099844
5	ekiden	3292.328185050244
6	omochana2	3248.1287781662786
7	gobi	3099.2412282162286
8	titia	3048.034615749748
9	kenntin	3027.7988347909404
10	tanzaku	3011.473561453168
11	kusano	3003.3940198690198
12	nagitaosu	2988.079923752717
13	kotamanegi	2915.6830280830277
14	neterukun	2873.363280359991
15	Taiyo	2860.243040073961
16	Imperi	2858.65977225389
17	mtsd	2766.1783688533687
18	nyanko	2711.2749581558787
19	4bungi	2681.6972458741807
20	phocom	2677.4852171220596
21	ms5	2639.582534540623
22	snuke	2617.444506091603
23	masutech16	2597.7718950640005
24	takumi152	2582.3294228647173
25	Kuri174	2532.550418046006
26	to-hutohu	2489.9252832951365
27	iwashi31	2443.861285936285
28	yamunaku	2427.1746900974845
29	Aquarius	2426.375549450549
30	myrmidon	2352.9841908091903
31	peroon	2291.486756883467
32	fuppy	2171.628780253973
33	mkan_0141	2092.734358477779
34	Dente	2020.0940996095408
35	rickytheta	1878.5505910755908
36	fujiyama	1470.617722847328
37	sensaur	1333.306216006216
38	iehn	863.9868353868353
39	E869120	725.6542637917637
40	unsre	415.0153846153846
41	Arakoma	309.3822843822844
42	daisyo	231.0194805194805
43	nhho	77.0
44	hdnkt	56.048951048951054
45	cielavenir	26.666666666666668
