rank	ID	score
1	omu	2560.2164036579507
2	shr	2520.0962554771186
3	rickytheta	2483.9905964396253
4	yamunaku	2482.127618051785
5	fuppy	2464.096119243877
6	tanzaku	2462.613031008729
7	takumi152	2429.299595804049
8	iwashi31	2426.5520325906887
9	mojashi	2421.1638763948395
10	phocom	2403.0243230283745
11	goodbaton	2392.3293671932843
12	mamekin	2391.090072471703
13	tomerun	2380.4635777736025
14	takoshi	2378.380674466693
15	tantal	2371.6268112644734
16	cielavenir	2337.821733346529
17	Aquarius	2337.114965662958
18	iehn	2322.493145932285
19	nagitaosu	2316.6070342206317
20	31536000	2310.6102022054065
21	kusano	2309.304515072206
22	Jiro_tech15	2305.9355306832003
23	tashikani	2303.955590990254
24	snuke	2297.7520313140976
25	titia	2292.0267998625936
26	hiro116s	2289.370537711403
27	E869120	2289.139052001083
28	tanakh	2262.590120278526
29	ekiden	2254.8821277556863
30	sumoru	2216.891526478049
31	hitonanode	2212.246613391314
32	gobi	2206.6219603688264
33	mtsd	2178.233358476198
34	nhho	2158.258388864216
35	kimiyuki	2157.322545273467
36	kotamanegi	2154.684370421756
37	kenntin	2137.953983595997
38	qLethon	2123.6112373783
39	riantkb	2121.3276470183787
40	4bungi	2105.29161461401
41	koikuchi	2088.23535875109
42	mkan_0141	2051.7024777013075
43	fmhr	2046.242248864678
44	sensaur	2040.142857142857
45	wat_shun	2018.260888749658
46	fgwiebfaoish	2016.6301132106598
47	Inaniwa	2013.5948399881713
48	to-hutohu	2013.1392267472024
49	asdfgh	1999.3584454374738
50	nyanko	1996.7064434339898
51	kuhaku	1975.7170494155737
52	unsre	1964.1770212332056
53	remin	1955.884679089027
54	y_kawano	1940.0601514616028
55	bowwowforeach	1916.310905718854
56	molety	1911.055298227844
57	Arakoma	1907.411923160842
58	uchiiii	1905.9213078066673
59	Taiyo	1880.3919460191205
60	physics0523	1820.662431073073
61	ms5	1808.3150007059826
62	siman	1796.967096061833
63	uwi	1761.8810023052285
64	Joe75792433	1673.6342999427106
65	daisyo	1450.9092554166868
66	ryuk	1403.7503642332847
67	ymduu	1227.6534925175145
68	Tlapesium	1211.8416846111256
69	fujiyama	1210.0712727702244
70	yowa	993.7841943753615
71	tobiuo1990	820.9383116883117
72	Kuri174	472.2258623077271
73	rigy	64.5
