rank	ID	score
1	shr	2560.107853243079
2	rickytheta	2513.5380351450453
3	tomerun	2490.0990564706094
4	fuppy	2468.189679571772
5	tanzaku	2458.2826287915886
6	iwashi31	2453.120397253136
7	omu	2415.064847406414
8	yamunaku	2409.5251859519226
9	goodbaton	2380.309805599447
10	kusano	2375.9972225946117
11	nagitaosu	2364.8849078096346
12	tantal	2357.7403092522795
13	mojashi	2333.036230880579
14	snuke	2320.183775427253
15	nhho	2307.6615768543747
16	hitonanode	2300.680091535347
17	phocom	2299.9928317323283
18	Jiro_tech15	2282.6294477846654
19	takumi152	2279.094198302774
20	mamekin	2277.817064463951
21	titia	2271.151482071015
22	kimiyuki	2269.8191831538275
23	gobi	2259.137580956839
24	ichyo	2254.608642757557
25	4bungi	2239.9328484246316
26	Taiyo	2224.0239178718443
27	kotamanegi	2190.9427374920924
28	sumoru	2187.0439528052534
29	ekiden	2183.2999453487655
30	Aquarius	2163.784193278246
31	ganariya	2157.706745136815
32	iehn	2141.653974374128
33	takoshi	2127.2952169046403
34	Arakoma	2093.895789551091
35	wat_shun	2091.4465036901083
36	31536000	2090.1387069896678
37	cielavenir	2078.302354151996
38	fgwiebfaoish	2075.7556005367583
39	to-hutohu	2071.9717650713187
40	mtsd	2041.6252691031984
41	hiro116s	2034.1355829454235
42	koikuchi	2015.2148514193923
43	mkan_0141	1992.674266413747
44	kenntin	1991.8330351783666
45	y_kawano	1990.7154932492142
46	jacky	1963.3953588605314
47	unsre	1960.614392962711
48	qLethon	1956.429202253975
49	ms5	1930.4727112614376
50	asdfgh	1906.0956995426816
51	Inaniwa	1879.711148890766
52	ryuk	1822.1506159453081
53	molety	1690.0392546065377
54	kuhaku	1687.9805521426208
55	E869120	1684.2569210611396
56	fmhr	1552.1199944516077
57	physics0523	1540.1024701042452
58	sensaur	1482.3388770388106
59	bowwowforeach	1479.4500970273425
60	daisyo	1478.5476190476193
61	uchiiii	1452.9383798321355
62	hidekiy	1329.2944046860198
63	hdnkt	1231.2611043586285
64	fujiyama	1145.3152989795046
65	Joe75792433	1103.7251756294609
66	tobiuo1990	1067.814286543262
67	nyanko	1009.8389685237406
68	ymduu	743.3511770092653
69	Tlapesium	702.7915082820743
70	riantkb	671.9245590170304
71	siman	614.2222222222222
72	kcvlex	410.76502634061876
73	tanakh	151.92857142857144
74	rigy	115.71428571428571
75	uwi	59.58174603174603
76	Kuri174	27.77777777777778
