rank	ID	score
1	takumi152	4167.63169970187
2	omu	3676.755627095302
3	rickytheta	3663.8451361392213
4	snuke	3651.2086882278604
5	tantal	3515.9388946387203
6	ekiden	3511.763528508812
7	mtsd	3494.4708719946884
8	masutech16	3457.250107249574
9	takoshi	3441.8053927213014
10	riantkb	3438.979543758128
11	gobi	3303.654737598869
12	Imperi	3282.0641516626097
13	ganariya	3244.642385979375
14	E869120	3242.907447382336
15	tomerun	3211.4586234355397
16	iwashi31	3193.827254293601
17	iehn	3073.2890235399923
18	yamunaku	3053.6422876183437
19	kotamanegi	3023.90076692841
20	unsre	2928.1157922356124
21	Dente	2894.380397004863
22	titia	2862.1038297735577
23	to-hutohu	2840.069573237219
24	sumoru	2840.069573237219
25	fgwiebfaoish	2818.9308345422724
26	phocom	2805.941865373683
27	neterukun	2669.905453580063
28	Inaniwa	2334.0817323538217
29	Taiyo	2287.2026668269914
30	Aquarius	2057.070958914248
31	physics0523	2054.6711725576083
32	nyanko	1961.7543678679097
33	ms5	1932.882247309073
34	mojashi	1871.5350895960962
35	daisyo	1850.3661756958927
36	kusano	1844.1125213457565
37	Joe75792433	1776.3246055111058
38	goodbaton	1717.180306934445
39	hitonanode	1706.8792504328057
40	Arakoma	1656.6003345795427
41	sensaur	1648.221937538628
42	wat_shun	1615.6362945605592
43	4bungi	1614.865277675847
44	nagitaosu	1576.3067317829466
45	kenntin	1540.6361852108698
46	fujiyama	1524.0164481309764
47	spady	1366.9369470558038
48	HIRO170	1359.9754512891884
49	hdnkt	1326.3346900904692
50	mkan_0141	1292.5380896384906
51	uchiiii	1193.4983912454175
52	shindannin	1063.6692278987218
53	tanzaku	951.7085659551177
54	siman	177.77777777777777
55	nhho	177.77777777777777
56	cielavenir	177.77777777777777
57	foxgod	176.07941225441226
58	fuppy	115.48404239438722
59	tobiuo1990	94.11764705882352
60	Jiro_tech15	55.47222222222222
61	kryinit	46.42857142857143
