rank	ID	score
1	tomerun	5148.527229474359
2	tantal	5148.527229474359
3	mtsd	5054.841515188644
4	yamunaku	4020.411771462411
5	iehn	3929.7859252116987
6	E869120	3363.462216595419
7	tanzaku	2925.7733853288323
8	iwashi31	2733.641190934109
9	masutech16	2672.9824658399734
10	takumi152	2611.0964849894503
11	ms5	2582.2323720740906
12	rickytheta	2573.521337619209
13	kusano	2530.1536718228604
14	omochana2	2527.2270910669404
15	Taiyo	2516.0357875842237
16	4bungi	2497.375815245127
17	nyanko	2470.2054277722623
18	ryuk	2444.8336084381212
19	sensaur	2444.8119355147924
20	Joe75792433	2441.8134224521614
21	gobi	2424.6845756117546
22	kenntin	2390.3382240803635
23	titia	2350.827540592362
24	snuke	2336.956774933013
25	Imperi	2333.7129679573954
26	ekiden	2321.9482864380275
27	ganariya	2317.182097138327
28	unsre	2316.3532163085265
29	fujiyama	2313.781334824446
30	fuppy	2254.509865852242
31	sumoru	2212.699197251724
32	nagitaosu	2176.481611345311
33	peroon	2161.8191116674857
34	phocom	2132.382381133658
35	Inaniwa	2108.1729468630792
36	hiro116s	1968.8517246642243
37	neterukun	1958.8944069389506
38	kotamanegi	1908.065113236437
39	myrmidon	1895.5964821298412
40	Dente	1891.9417951845192
41	mkan_0141	1832.1844674116733
42	Aquarius	1554.277128018106
43	to-hutohu	576.7379555901614
44	riantkb	136.85714285714286
45	GennadyCroquettevich	119.71428571428572
46	cielavenir	75.0
47	bowwowforeach	48.0
48	kryinit	42.1875
49	goodbaton	39.73863636363636
50	y_kawano	36.0
