rank	ID	score
1	takumi152	2462.3055367018083
2	fuppy	2461.1280370985346
3	omu	2450.413454920064
4	takoshi	2440.953900204766
5	iwashi31	2391.4106962928777
6	rickytheta	2388.3073737909244
7	kusano	2372.1992828505695
8	tantal	2365.1608415446703
9	shr	2362.8990588464735
10	mojashi	2336.6027798864925
11	phocom	2317.3658338664204
12	sumoru	2303.1980649561506
13	kimiyuki	2251.873957921457
14	mamekin	2249.6019359704674
15	snuke	2238.9294841578244
16	ekiden	2224.789291274063
17	tomerun	2209.6532173869145
18	hitonanode	2205.7746065772667
19	iehn	2199.519428127527
20	Aquarius	2185.008777045199
21	gobi	2183.697245163499
22	E869120	2175.5470798096053
23	Jiro_tech15	2158.8007845259867
24	kotamanegi	2143.705184795357
25	nhho	2136.413701344934
26	cielavenir	2125.0884153944617
27	hiro116s	2096.400754997224
28	nagitaosu	2093.517067014843
29	Inaniwa	2076.5733908329494
30	to-hutohu	2063.07069864824
31	jacky	2059.267495179051
32	y_kawano	2054.7418777115467
33	Joe75792433	2048.034702581012
34	remin	2047.448633841382
35	fgwiebfaoish	2040.5355740777818
36	tanzaku	2033.0895804040852
37	fmhr	2025.3272407444483
38	ganariya	2022.7094675876724
39	Taiyo	2020.2426798065708
40	riantkb	1985.5855756348476
41	unsre	1968.6063369255048
42	tashikani	1933.5300541735887
43	31536000	1910.3082145307255
44	asdfgh	1905.7023302098744
45	ms5	1902.6569042660208
46	sensaur	1880.8835913920238
47	4bungi	1866.1324467128013
48	ryuk	1816.3913804795247
49	wat_shun	1815.1964468627323
50	kenntin	1791.8008612590058
51	qLethon	1764.6943916220046
52	goodbaton	1706.7367978375041
53	uchiiii	1705.9564475774794
54	tobiuo1990	1643.5153799624848
55	ichyo	1626.1769344280885
56	titia	1586.818938249828
57	tanakh	1566.2020148179301
58	koikuchi	1565.648307875697
59	physics0523	1440.0378730578022
60	bowwowforeach	1333.9748976513683
61	hidekiy	1227.8132747160719
62	hdnkt	1197.2302919798897
63	fujiyama	1074.5391341244392
64	daisyo	1063.1486742424242
65	nyanko	1036.122080415182
66	yamunaku	863.5342680442258
67	kuhaku	857.0894999259006
68	Arakoma	833.1633931317332
69	mtsd	751.4636160981547
70	Tlapesium	732.8571428571429
71	siman	541.5151515151515
72	ymduu	472.02814111601776
73	kcvlex	102.35281479749564
74	mkan_0141	68.73684210526316
75	molety	50.0
76	rigy	18.0
77	Kuri174	3.125
